KOD,NAME
AU,АВСТРАЛИЯ
AT,АВСТРИЯ
AL,АЛБАНИЯ
AS,АМЕРИКАНСКОЕ САМОА
AD,АНДОРРА
BE,БЕЛЬГИЯ
BG,БОЛГАРИЯ
BA,БОСНИЯ И ГЕРЦЕГОВИНА
IO,БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНД.ОКЕАНЕ
HU,ВЕНГРИЯ
VG,ВИРГИНСКИЕ ОСТРОВА (БРИТАНСКИЕ)
VI,ВИРГИНСКИЕ ОСТРОВА (США)
DE,ГЕРМАНИЯ
GR,ГРЕЦИЯ
DK,ДАНИЯ
IE,ИРЛАНДИЯ
IS,ИСЛАНДИЯ
ES,ИСПАНИЯ
IT,ИТАЛИЯ
CA,КАНАДА
CY,КИПР
LV,ЛАТВИЯ
LT,ЛИТВА
LI,ЛИХТЕНШТЕЙН
LU,ЛЮКСЕМБУРГ
MT,МАЛЬТА
MD,"МОЛДОВА, РЕСПУБЛИКА"
MC,МОНАКО
NL,НИДЕРЛАНДЫ
NZ,НОВАЯ ЗЕЛАНДИЯ
NO,НОРВЕГИЯ
PL,ПОЛЬША
PT,ПОРТУГАЛИЯ
MK,СЕВЕРНАЯ МАКЕДОНИЯ
SM,САН-МАРИНО
SK,СЛОВАКИЯ
GB,СОЕДИНЕННОЕ КОРОЛЕВСТВО
US,СОЕДИНЕННЫЕ ШТАТЫ
FI,ФИНЛЯНДИЯ
FR,ФРАНЦИЯ
HR,ХОРВАТИЯ
ME,ЧЕРНОГОРИЯ
CZ,ЧЕХИЯ
CH,ШВЕЙЦАРИЯ
SE,ШВЕЦИЯ
EE,ЭСТОНИЯ
