KOD	DISTRICT	NAME
7000	08	 СТАВРОПОЛЬСКИЙ КРАЙ
44000	07	 МАГАДАНСКАЯ ОБЛАСТЬ
14000	01	 БЕЛГОРОДСКАЯ ОБЛАСТЬ
45000	01	 ГОРОД МОСКВА СТОЛИЦА РОССИЙСКОЙ ФЕДЕРАЦИИ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ
63000	04	 САРАТОВСКАЯ ОБЛАСТЬ
60000	03	 РОСТОВСКАЯ ОБЛАСТЬ
46000	01	 МОСКОВСКАЯ ОБЛАСТЬ
1000	06	 АЛТАЙСКИЙ КРАЙ
50000	06	 НОВОСИБИРСКАЯ ОБЛАСТЬ
3000	03	 КРАСНОДАРСКИЙ КРАЙ
5000	07	 ПРИМОРСКИЙ КРАЙ
29000	01	 КАЛУЖСКАЯ ОБЛАСТЬ
18000	03	 ВОЛГОГРАДСКАЯ ОБЛАСТЬ
36000	04	 САМАРСКАЯ ОБЛАСТЬ
40000	02	 ГОРОД САНКТ-ПЕТЕРБУРГ ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ
30000	07	 КАМЧАТСКИЙ КРАЙ
64000	07	 САХАЛИНСКАЯ ОБЛАСТЬ
28000	01	 ТВЕРСКАЯ ОБЛАСТЬ
52000	06	 ОМСКАЯ ОБЛАСТЬ
75000	05	 ЧЕЛЯБИНСКАЯ ОБЛАСТЬ
35000	03	 РЕСПУБЛИКА КРЫМ
79000	03	 РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ)
41000	02	 ЛЕНИНГРАДСКАЯ ОБЛАСТЬ
76000	07	 ЗАБАЙКАЛЬСКИЙ КРАЙ
8000	07	 ХАБАРОВСКИЙ КРАЙ
70000	01	 ТУЛЬСКАЯ ОБЛАСТЬ
27000	02	 КАЛИНИНГРАДСКАЯ ОБЛАСТЬ
66000	01	 СМОЛЕНСКАЯ ОБЛАСТЬ
22000	04	 НИЖЕГОРОДСКАЯ ОБЛАСТЬ
32000	06	 КЕМЕРОВСКАЯ ОБЛАСТЬ
47000	02	 МУРМАНСКАЯ ОБЛАСТЬ
20000	01	 ВОРОНЕЖСКАЯ ОБЛАСТЬ
4000	06	 КРАСНОЯРСКИЙ КРАЙ
65000	05	 СВЕРДЛОВСКАЯ ОБЛАСТЬ
12000	03	 АСТРАХАНСКАЯ ОБЛАСТЬ
53000	04	 ОРЕНБУРГСКАЯ ОБЛАСТЬ
90000	08	 РЕСПУБЛИКА СЕВЕРНАЯ ОСЕТИЯ-АЛАНИЯ
73000	04	 УЛЬЯНОВСКАЯ ОБЛАСТЬ
10000	07	 АМУРСКАЯ ОБЛАСТЬ
11000	02	 АРХАНГЕЛЬСКАЯ ОБЛАСТЬ
24000	01	 ИВАНОВСКАЯ ОБЛАСТЬ
42000	01	 ЛИПЕЦКАЯ ОБЛАСТЬ
49000	02	 НОВГОРОДСКАЯ ОБЛАСТЬ
15000	01	 БРЯНСКАЯ ОБЛАСТЬ
25000	06	 ИРКУТСКАЯ ОБЛАСТЬ
99000	07	 ЕВРЕЙСКАЯ АВТОНОМНАЯ ОБЛАСТЬ
58000	02	 ПСКОВСКАЯ ОБЛАСТЬ
71000	05	 ТЮМЕНСКАЯ ОБЛАСТЬ
82000	08	 РЕСПУБЛИКА ДАГЕСТАН
89000	04	 РЕСПУБЛИКА МОРДОВИЯ
68000	01	 ТАМБОВСКАЯ ОБЛАСТЬ
56000	04	 ПЕНЗЕНСКАЯ ОБЛАСТЬ
91000	08	 КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСПУБЛИКА
78000	01	 ЯРОСЛАВСКАЯ ОБЛАСТЬ
92000	04	 РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН)
81000	07	 РЕСПУБЛИКА БУРЯТИЯ
84000	06	 РЕСПУБЛИКА АЛТАЙ
57000	04	 ПЕРМСКИЙ КРАЙ
83000	08	 КАБАРДИНО-БАЛКАРСКАЯ РЕСПУБЛИКА
38000	01	 КУРСКАЯ ОБЛАСТЬ
86000	02	 РЕСПУБЛИКА КАРЕЛИЯ
37000	05	 КУРГАНСКАЯ ОБЛАСТЬ
94000	04	 УДМУРТСКАЯ РЕСПУБЛИКА
61000	01	 РЯЗАНСКАЯ ОБЛАСТЬ
19000	02	 ВОЛОГОДСКАЯ ОБЛАСТЬ
80000	04	 РЕСПУБЛИКА БАШКОРТОСТАН
69000	06	 ТОМСКАЯ ОБЛАСТЬ
54000	01	 ОРЛОВСКАЯ ОБЛАСТЬ
17000	01	 ВЛАДИМИРСКАЯ ОБЛАСТЬ
97000	04	 ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ
33000	04	 КИРОВСКАЯ ОБЛАСТЬ
26000	08	 РЕСПУБЛИКА ИНГУШЕТИЯ
67000	03	 СЕВАСТОПОЛЬ - ГОРОД ФЕДЕРАЛЬНОГО ЗНАЧЕНИЯ
34000	01	 КОСТРОМСКАЯ ОБЛАСТЬ
96000	08	 ЧЕЧЕНСКАЯ РЕСПУБЛИКА
95000	06	 РЕСПУБЛИКА ХАКАСИЯ
88000	04	 РЕСПУБЛИКА МАРИЙ ЭЛ
71100	05	 ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ (ТЮМЕНСКАЯ ОБЛАСТЬ)
87000	02	 РЕСПУБЛИКА КОМИ
98000	07	 РЕСПУБЛИКА САХА (ЯКУТИЯ)
71140	05	 ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ (ТЮМЕНСКАЯ ОБЛАСТЬ)
77000	07	 ЧУКОТСКИЙ АВТОНОМНЫЙ ОКРУГ
93000	06	 РЕСПУБЛИКА ТЫВА
11100	02	 НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ (АРХАНГЕЛЬСКАЯ ОБЛАСТЬ)
85000	03	 РЕСПУБЛИКА КАЛМЫКИЯ
